Name,Country,Type,Ratings,Price_USD,Rating 
Rhum du Pére Labat 50 Rhum,Guadeloupe,Rhum Agricole,1,None,7.0
Plantation Barbados 16 yrs ,Caribbean,Aged,1,None,5.0
Worthy Park  Gold ,Jamaica,Gold,1,None,3.0
Calypso Gold ,Barbados,Gold,1,None,3.0
Ron Medellin Ron añejo Medellín 3 años ,Colombia,Aged,1,None,4.0
"Oliver &amp; Oliver Frederikssund Rom XO 23 Years Solera, Dominican Republic ",Dominican Republic,Aged,1,None,9.0
Tres Hombres Edition 22 2017 18 yrs solera ,Caribbean,Aged,1,None,7.0
Longueteau Blanc Parcelle 4 Rhum,Guadeloupe,Rhum Agricole,1,None,7.0
Bielle 2004 ,Guadeloupe,Aged,1,255.78,10.0
Damoiseau Pure Cane Rum 110 Rhum,Guadeloupe,Rhum Agricole,1,None,8.0
Tres Esquinas Dry ,Colombia,Aged,1,None,7.0
Monarch Gold ,USA,Gold,1,None,7.0
Las Vegas Distillery Nevada ,USA,Light,1,None,5.0
HSE Blanc Agricole 55% Rhum,Martinique,Rhum Agricole,1,None,8.0
Mangoustan's Coffee ,Martinique,Flavored,1,None,5.0
Ron Diaz 151 ,USA,Overproof,1,None,6.0
Old Man Guavaberry Passion Fruit ,Saint Martin,Flavored,1,None,3.0
Breckenridge Spiced ,USA,Spiced,1,None,6.0
Ron Malteco Viejo Dorado ,Guatemala,Dark,1,None,6.0
J. Bally J. BALLY 2003 Rhum Rhum,Martinique,Rhum Agricole,1,None,5.0
Lundu Light Cachaca,Brazil,Cachaca,1,None,8.0
The Whisky Agency Barbancourt ,Germany,Gold,1,None,8.0
Origin R. guyana 12 years  ,France,Aged,1,None,9.0
Hispaniola Grand Anejo 8 ,Dominican Republic,Aged,1,24.18,6.0
Velier Bielle 2003 MG 9 yrs ,Italy,Aged,1,None,6.0
Trois Rivieres 1999 ,Martinique,Aged,1,None,7.0
Diamond Distillery Red Bonny ,Guyana,Dark,1,None,2.0
Reimonenq A'Rhûm Straight From The Cask 2011 ,Guadeloupe,Aged,1,None,9.0
Number Nine Spirituosenmanufaktur GmbH Alfred's Trail Edition 9.12 Barbados Rum ,Germany,Aged,1,None,8.0
Mombacho XO Single Cask 43% ,Nicaragua,Aged,1,None,7.0
Rational Spirits Santeria ,USA,Gold,1,None,6.0
Kill Devil (Hunter Laing) Diamond 2001 15-Year ,Scotland,Aged,1,None,8.0
Old Ipswich Golden Marsh ,USA,Spiced,1,None,7.0
Ron Navazos Palazzi Cask Strength 2013 ,Spain,Aged,1,None,7.0
Compagnie des Indes Barbancourt 2004 - Cask BMH 32 - Haiti ,Caribbean,Aged,1,None,8.0
Sura Bangyikhan Distillery Hong Thong ,Thailand,Gold,1,None,6.0
Old Distiller 21-Year ,Santo Domingo,Aged,1,None,8.0
Rum Nation Jamaica 1985 ,Italy,Aged,1,None,10.0
Depaz Rhum Vieux Agricole Rhum,Martinique,Rhum Agricole,1,None,5.0
Privateer Navy Yard Barrel Proof ,USA,Aged,1,None,9.0
Bitter Truth Golden Falernum ,Germany,Flavored,1,None,8.0
Oliver &amp; Oliver Bavara Grand Brulee Ultra Premium ,Dominican Republic,Flavored,1,None,7.0
A. H. Riise Non plus Ultra Black edition ,Denmark,Aged,1,None,10.0
Mezan Trinidad 1996 ,Caribbean,Aged,1,None,9.0
Ferroni Ambré 18 Month ,Cuba,Gold,1,None,6.0
FlipFlop Silver ,USA,Light,1,None,7.0
Rum Nation Reunion Savanna 2006 ,Italy,Aged,1,None,8.0
Kill Devil (Hunter Laing) Guyana 1998 18-Year ,Scotland,Aged,1,None,7.0
ABC Fine Wine &amp; Spirits ABC Fine Wine &amp; Spirits ,United States,Dark,1,None,4.0
Montebello Vieux 1982 Cuvee Prestige 25  ,Guadeloupe,Aged,1,None,10.0
San Miguel Gold ,Ecuador,Gold,1,None,7.0
Austrian Empire Solera 21 ,UK,Aged,1,91.75,9.0
Cana de Cuca White Cachaca,Brazil,Cachaca,1,None,8.0
Ron Magua Anejo ,Dominican Republic,Gold,1,None,4.0
Berry's Grenada 9-Year ,Caribbean,Aged,1,None,8.0
The Real McCoy 10-Year Virgin Oak ,Barbados,Aged,1,None,8.0
Muddy River Spiced ,USA,Spiced,1,None,8.0
Blackadder Jamaica Hampden 14 Years Old ,Caribbean,Aged,1,None,8.0
El Canso Gold ,India,Gold,0,None,0.0
Tobacco Gold ,Spain,Gold,0,None,0.0
Caroni Gold Magic ,Trinidad,Gold,0,None,0.0
Johannsen Castle Tower ,Germany,Aged,0,None,0.0
Cadenhead's Panama Green Label 15-Year ,UK,Aged,0,None,0.0
Rainha do Vale RV10 ,Brazil,Gold,0,None,0.0
Cuba Libre Caribbean Key Dry ,Panama,Light,0,None,0.0
Canero 8-Year ,Nicaragua,Gold,0,37.98,0.0
Kill Devil (Hunter Laing) Blended ,Scotland,Gold,0,None,0.0
Copper Run White ,USA,Light,0,None,0.0
Johannsen White ,Germany,Light,0,None,0.0
Tiki Lovers Tiki Lovers Pineapple ,Germany,Flavored,0,None,0.0
Maui Gold ,USA,Gold,0,None,0.0
Cadenhead's Nicaraguan Green Label 9-Year ,UK,Aged,0,None,0.0
Code Mango Tango ,USA,Flavored,0,None,0.0
Robinson Light ,Indonesia,Light,0,None,0.0
Gilmans Spiced ,USA,Spiced,0,None,0.0
Cohiba 151 ,USA,Overproof,0,None,0.0
The Secret Treasures Old Guadeloupe 1992  ,Caribbean,Aged,0,None,0.0
Carta Vieja Silver ,Panama,Light,0,None,0.0
Rum Company Old Guadeloupe Calvados Finish ,Germany,Aged,0,None,0.0
Alambic Classique Collection Galion 2002 5-Year ,Caribbean,Aged,0,None,0.0
Plantation Jamaica &amp; Guyana 1991 ,Caribbean,Aged,0,None,0.0
Rum Nation Rum Nation Guadeloupe Rhum,Italy,Rhum Agricole,0,None,0.0
Westerhall Estate No 3 ,Grenada,Light,0,None,0.0
Rainha do Vale RV02 Cachaca,Brazil,Cachaca,0,None,0.0
Dunbar Imperial Premium Blend ,Dominican Republic,Aged,0,None,0.0
Waiwera Spiced Silver ,New Zealand,Spiced,0,None,0.0
Bristol Classic Barbados 1986 Rockley Still 26-Year 46% ,UK,Aged,0,None,0.0
Dogfish Head Wit Spiced ,USA,Spiced,0,None,0.0
Green Island Superior ,Mauritius,Light,0,None,0.0
St. Aubin Reserve White ,Mauritius,Light,0,None,0.0
Hana Bay Spiced ,USA,Spiced,0,None,0.0
Roman Candy Strawberry ,USA,Flavored,0,None,0.0
Ron Bermudez Reserva Especial 5-Year ,Dominican Republic,Aged,0,20.79,0.0
Roman Candy Chocolate ,USA,Flavored,0,None,0.0
Sagatiba Preciosa Cachaca,Brazil,Cachaca,0,None,0.0
Saint James Blanc 55 ,Martinique,Light,0,None,0.0
Cadenhead's CMA 17-Year 1999 ,UK,Aged,0,None,0.0
Bacardi Millennium 8-Year ,Puerto Rico,Aged,0,None,0.0
Mon Repos Blanc ,Guadeloupe,Light,0,None,0.0
Ron Carupano Silver ,Venezuela,Light,0,None,0.0
Bologne Silver ,Guadeloupe,Light,0,18.96,0.0
Coruba Pineapple ,Jamaica,Flavored,0,None,0.0
Quetzalteca Especial ,Guatemala,Gold,0,None,0.0
Dillon Grand Rhum,Martinique,Rhum Agricole,0,None,0.0
Germana Pracaip Cachaca,Brazil,Cachaca,0,None,0.0
Tiki Lovers White ,Germany,Light,0,20.23,0.0
Michler's Fine Jamaican ,UK,Gold,0,None,0.0
Cadenhead's Trinidad 24-Year 1991 ,UK,Aged,0,None,0.0
Berry's 7-Year ,Caribbean,Aged,0,None,0.0
Mezan Trinidad 2007 ,Caribbean,Aged,0,None,0.0
Canne Royale Extra Old ,Grenada,Gold,0,None,0.0
Dog Island Light ,USA,Light,0,None,0.0
Moon Import Jamaica &quot;I Pappagalli&quot; ,Italy,Aged,0,None,0.0
Soca Overproof ,Dominica,Overproof,0,None,0.0
UF30E Skeldon 1973 ,Guyana,Aged,0,None,0.0
Depaz Paille Agricole Rhum,Martinique,Rhum Agricole,0,None,0.0
Downslope Distilling Spiced ,USA,Spiced,0,None,0.0
D'aguiar's Millenium 12-Year ,Guyana,Aged,0,None,0.0
De Pirathas Black Spiced ,Dominican Republic,Spiced,0,20.23,0.0
D'aguiar's Classic Light ,Guyana,Light,0,None,0.0
Don Q Pasion ,Puerto Rico,Flavored,0,None,0.0
Tatuzinho Premium ,Brazil,Light,0,None,0.0
Porfidio Porfidio Single Cane - Plata Rhum,Mexico,Rhum Agricole,0,None,0.0
Rhum JM Cuvée Prestige ,Martinique,Aged,0,None,0.0
Novo Fogo Barrel 137 ,Brazil,Aged,0,None,0.0
Neptunes 62 ,Germany,Overproof,0,None,0.0
Diamond CBR XXX ,India,Gold,0,None,0.0
Brinley Gold Shipwreck Coconut ,St. Kitts,Flavored,0,None,0.0
Neisson 15-Year ,Martinique,Aged,0,627.0,0.0
Kudjoe While ,Jamaica,Light,0,None,0.0
Rum Company Old Fidji 2004 Port Wine Cask ,Germany,Aged,0,None,0.0
Espinillar Extra Anejo 10-Year ,Uruguay,Aged,0,None,0.0
Ron Magallanes Centenario ,Costa Rica,Gold,0,None,0.0
Nectar Tradicional ,Colombia,Light,0,None,0.0
Plantation La Réunion Vieille Réserve 15-Year ,Caribbean,Aged,0,None,0.0
Jinete Silver ,Mexico,Light,0,None,0.0
Shivas XXX ,India,Gold,0,None,0.0
J. Bally 1993 Rhum,Martinique,Rhum Agricole,0,None,0.0
Tanduay Primiero 8-Year ,Philippines,Aged,0,None,0.0
Debonaire Coffee ,Panama,Flavored,0,None,0.0
Charrette Vieux 5-Year ,Reunion,Gold,0,None,0.0
Duncan Taylor Barbados 2000 12-Year ,Caribbean,Aged,0,None,0.0
Lady Bligh Coconut ,USA,Flavored,0,None,0.0
Tortuga Cream ,British West Indies,Flavored,0,None,0.0
Isla De Rico Spiced ,Barbados,Spiced,0,None,0.0
Borgoe Extra 2000 ,Suriname,Aged,0,39.33,0.0
NPK Melon ,Mauritius,Flavored,0,32.81,0.0
D'aguiar's Demerara Sherry Cask 7-Year ,Guyana,Aged,0,None,0.0
Flag Hill White ,USA,Light,0,None,0.0
Michler's Artisanal White ,UK,Light,0,None,0.0
Alambic Classique Collection Westerhall 1998 14-year ,Caribbean,Aged,0,None,0.0
Berry's Guyanan 15-Year ,Caribbean,Aged,0,104.92,0.0
Phillips White ,USA,Light,0,None,0.0
Kill Devil (Hunter Laing) Guyana 2005 10-Year ,Scotland,Aged,0,None,0.0
XM Xtra White ,Guyana,Light,0,None,0.0
Bundaberg Coffee &amp; Chocolate ,Australia,Flavored,0,None,0.0
Arnisser No. 4 ,Germany,Gold,0,None,0.0
Foursquare Neptune. ,Barbados,Gold,0,None,0.0
Emperor Rum Distribution Ltd Emperor Rum - Private Collection ,Mauritius,Aged,0,None,0.0
Clarkes Court Black Jack ,Grenada,Aged,0,9.71,0.0
Gold Miner Agave ,USA,Flavored,0,None,0.0
Berry's 1973 ,Caribbean,Aged,0,None,0.0
Plantation Panama 8-Year ,Caribbean,Aged,0,None,0.0
Old Distiller 5-Year ,Santo Domingo,Aged,0,None,0.0
Jules Verne Gold Agricole Rhum,Paraguay,Rhum Agricole,0,None,0.0
Old Port XXX ,India,Aged,0,19.61,0.0
Belfast Cask ,Dominica,Aged,0,None,0.0
Hana Bay 151 ,USA,Overproof,0,None,0.0
Dzama Le Maki Blanc ,Madagascar,Light,0,22.06,0.0
Crema de Ron Viejo de Caldas Cheers ,Colombia,Flavored,0,None,0.0
Tres Esquinas Anejo ,Colombia,Gold,0,16.86,0.0
Harewood Dark ,UK,Aged,0,None,0.0
Caracas Club Anejo Reserva ,Venezuela,Aged,0,22.63,0.0
Weiron Nicaragua ,Sweden,Aged,0,None,0.0
Ron Carupano Mango ,Venezuela,Flavored,0,None,0.0
Ed Hardy Spiced ,USA,Spiced,0,None,0.0
Canero 1989 ,Nicaragua,Aged,0,101.32,0.0
Compagnie des Indes Trinidad 1996 Old Caroni 18-Year  ,Caribbean,Aged,0,None,0.0
10 Cane Signature Blend ,Trinidad,Gold,0,None,0.0
New Grove Silver ,Mauritius,Light,0,None,0.0
uitvlugt Duncan Taylor Diamond Guyana Single Cask Rum 10  ,guyana,Aged,0,None,0.0
Nottingham Forest Roomdi White ,Italy,Light,0,None,0.0
Blue Mauritius Silver ,Mauritius,Light,0,None,0.0
Caribbean Gold Spiced ,Caribbean,Spiced,0,25.09,0.0
Rum Nation La Suerte XO ,Italy,Aged,0,None,0.0
Smatts Black ,Jamaica,Dark,0,None,0.0
Demerara El Dorado ,Guyana,Aged,0,None,0.0
Tahiti Nui White ,French Polynesia,Light,0,None,0.0
Virins Extra Aged ,Dominican Republic,Aged,0,None,0.0
Isautier Blanc 49 ,Reunion,Light,0,None,0.0
Frigate OP ,Australia,Dark,0,None,0.0
Citizen XXX ,India,Gold,0,None,0.0
Frigate UP ,Australia,Gold,0,None,0.0
Selection Privee Original 9-Year ,St. Lucia,Aged,0,46.08,0.0
Berry's Panama 11-Year ,Caribbean,Aged,0,None,0.0
Ron Marques del Valle 5-Year ,Colombia,Gold,0,None,0.0
Chick Charney Light ,Bahamas,Light,0,None,0.0
Samaroli Demerara 2001 ,Scotland,Aged,0,None,0.0
Ocean's Indian Limited Edition 2000 ,Spain,Aged,0,None,0.0
Pichincha 15-Year ,Ecuador,Aged,0,96.77,0.0
Mazdoor XXX ,India,Gold,0,None,0.0
Rhum JM Vieux VSOP ,Martinique,Aged,34,43.75,6.6
Ron Viejo de Caldas 3-Year ,Colombia,Gold,17,14.22,5.4
Bacardi Carta Oro ,Puerto Rico,Gold,34,26.93,4.4
Blackheart Premium Spiced ,US Virgin Islands,Spiced,34,None,5.7
Malibu Black ,Canada,Flavored,17,28.39,6.0
Doorly's 5-Year ,Barbados,Gold,33,23.9,6.4
Leblon Light Cachaca,Brazil,Cachaca,33,None,5.6
Cruzan 9 Spiced ,US Virgin Islands,Spiced,33,None,6.2
Matusalem Gran Reserva 18 ,Dominican Republic,Aged,33,None,7.5
Foursquare 2004 11-Year Bourbon Cask Strength ,Barbados,Aged,33,None,8.7
A. H. Riise XO Reserve Christmas ,Denmark,Aged,33,71.89,6.9
Baron Samedi Spiced ,Caribbean,Spiced,33,None,7.4
Plantation Barbados 2001 ,Caribbean,Aged,33,None,8.3
A. H. Riise Family Reserve Solera ,Denmark,Aged,32,None,7.4
Lemon Hart 151 ,Guyana,Overproof,32,40.87,8.3
Ron Medellin Añejo 8-year Extra Añejo ,Colombia,Aged,16,22.66,5.8
Plantation Gran Anejo Guatemala &amp; Belize ,Caribbean,Aged,32,None,7.5
Cubaney Centenario 25-30 Year ,Dominican Republic,Aged,31,166.67,9.4
Oliver's Exquisito 1985 Vintage Solera ,Dominican Republic,Aged,31,171.35,8.3
Atlantico Reserva ,Dominican Republic,Gold,31,47.54,6.3
Black Magic Black Spiced ,Caribbean,Aged,31,None,6.4
Ron Relicario Dominicano Superior ,Dominican Republic,Gold,31,43.37,6.9
Brugal Añejo Reserva ,Dominican Republic,Gold,31,None,5.7
Malecon 8-Year ,Panama,Aged,10,21.11,6.8
Trader Vics Royal Amber ,USA,Gold,0,None,0.0
Mocambo Solera ,Mexico,Gold,0,None,0.0
Cadenhead's Jamaican JMLR 12-Year 2002 ,UK,Aged,0,None,0.0
Crema de Café Colombiano Kaldí ,Colombia,Flavored,0,None,0.0
Alambic Classique Collection Bellevue 2008 9-Year ,Caribbean,Aged,0,None,0.0
Cuello's Caribbean White ,Belize,Light,0,None,0.0
Travellers Cristal Lemon ,Belize,Flavored,0,None,0.0
SLR Sunset White ,St. Vincent,Light,0,31.59,0.0
Navy Neaters 95.5 ,UK,Overproof,0,None,0.0
Sunny XXX ,India,Gold,0,None,0.0
HE-MAN XXX ,India,Gold,0,None,0.0
Isautier 7-Year ,Reunion,Aged,0,None,0.0
Green Island Super Light ,Mauritius,Light,0,None,0.0
Caroni Felicite Gold ,Trinidad,Gold,0,None,0.0
Demerara 1977 ,Guyana,Aged,0,None,0.0
Ron Estelar Peach ,Ecuador,Flavored,0,19.44,0.0
Eleven Wells Malestrom ,USA,Light,0,None,0.0
Zm  ZLUFC11 ,UK,Aged,0,None,0.0
Edmundo Dantes 25-Year ,Cuba,Aged,0,1126.52,0.0
Duncan Taylor Cuba 1998 14-Year ,Caribbean,Aged,0,None,0.0
Vybz White ,Jamaica,Light,0,None,0.0
Reimonenq 1995 ,Guadeloupe,Aged,0,None,0.0
Rum Jumbie Pineapple Splash ,Panama,Flavored,0,None,0.0
San Miguel Silver ,Ecuador,Light,0,None,0.0
Knockemdown Key 100 Proof ,US Virgin Islands,Overproof,0,None,0.0
Germana 10-Year Cachaca,Brazil,Cachaca,0,None,0.0
Cruzan Islamorada Light ,US Virgin Islands,Light,0,None,0.0
Clement Rhum vieux Millesime 1952 ,Martinique,Light,0,1108.43,0.0
Ron Montilla Carta Branca ,Brazil,Flavored,0,None,0.0
Aguardiente 180 ,Colombia,Light,0,None,0.0
NPK Hibiscus Royal ,Mauritius,Flavored,0,None,0.0
Paradise Distilling Caribbean Mist ,USA,Gold,0,None,0.0
CopperMuse Silver ,USA,Light,0,None,0.0
Isla de Canjas 7-Year ,Panama,Gold,0,20.65,0.0
Plantation St Lucia ,Caribbean,n/a,0,None,0.0
Ron Baluarte XO ,Colombia,Aged,0,None,0.0
Cadenhead's Jamaican JMLR 8-Year ,UK,Aged,0,None,0.0
Berry's Barbados 11-Year ,Caribbean,Aged,0,None,0.0
NPK Pineapple ,Mauritius,Flavored,0,32.98,0.0
Rum Nation Panama 21 ,Italy,Aged,0,None,0.0
8 PM Bermuda XXX ,India,Gold,0,None,0.0
Delight XXX ,India,Gold,0,None,0.0
Ocean's Triple S Dominica ,Spain,Aged,0,None,0.0
Isla De Rico Silver ,Barbados,Light,0,None,0.0
Clement Volcan ,Martinique,Light,0,None,0.0
Pinilla Gold ,Cuba,Gold,0,None,0.0
Cubaney 7-Year ,Dominican Republic,Aged,0,None,0.0
Caroni Gold ,Trinidad,Gold,0,None,0.0
Bozkov Bozkov ,Czech Republic,n/a,0,None,0.0
graciasmadre gracias madre ,usa,Spiced,0,None,0.0
J. Bally 1979 Rhum,Martinique,Rhum Agricole,0,None,0.0
Cohiba White ,USA,Light,0,None,0.0
Red Heart Gold ,South Africa,Gold,0,None,0.0
Royale Hawaiian Pineapple ,USA,Flavored,0,None,0.0
The Secret Treasures Old Venezuelan 1991 ,Caribbean,Aged,0,None,0.0
Silver Wolf Five Star ,USA,Aged,0,None,0.0
The Pembrokeshire Beach Food Company Barti Ddu Rum ,United Kingdom,Spiced,0,None,0.0
Kings Bay Silver ,USA,Light,0,None,0.0
Rum Club Light &amp; Dry ,Denmark,Light,0,None,0.0
Artemi Golden ,Spain,Gold,0,None,0.0
Black Fort XXX ,India,Gold,0,None,0.0
Riviere du Mat Vieux Traditionnel ,Reunion,Gold,0,33.42,0.0
Berry's Jamaican 13-Year ,Caribbean,Aged,0,89.62,0.0
Saint James Quintessance Rhum,Martinique,Rhum Agricole,0,None,0.0
Burnett's  Spiced ,USA,Spiced,0,None,0.0
Daufuskie Island Vanilla ,USA,Flavored,0,None,0.0
Cadenhead's Belize 9-Year ,UK,Aged,0,None,0.0
Old Lahaina Silver ,USA,Light,0,None,0.0
St. Augustine 1 ,USA,Gold,0,None,0.0
FlipFlop Spiced ,USA,Spiced,0,None,0.0
Macoucherie White ,Dominica,Light,0,None,0.0
Berry's St Lucia 11-Year ,Caribbean,Aged,0,87.18,0.0
Ricardo Banana ,Bahamas,Flavored,0,None,0.0
Plantation Old Reserve 1999 ,Caribbean,Gold,0,None,0.0
Carta Vieja Special Reserve 4-Year ,Panama,Aged,0,None,0.0
Macollo Anejo 7-Year ,Mexico,Gold,0,6.75,0.0
Bologne Magnum ,Guadeloupe,Light,0,None,0.0
Guaro Superior ,Costa Rica,Light,0,None,0.0
SX Samba ,Mexico,Flavored,0,None,0.0
Power XXX ,India,Gold,0,None,0.0
Foursquare Alfred's Trail Edition 9.12 Barbados Rum ,Barbados,Aged,0,None,0.0
NPK Pure White ,Mauritius,Light,0,None,0.0
Siboney Anejo ,Dominican Republic,Gold,0,None,0.0
Ron Jamaica Gold ,Argentina,Gold,0,None,0.0
Tondena 8-Year ,Philippines,Aged,0,None,0.0
Koh Samui Nature ,Thailand,Flavored,0,None,0.0
Ron Vigia 12-Year ,Colombia,Aged,0,None,0.0
Debonaire Honey ,Panama,Flavored,0,None,0.0
Old St. Pete Palm and oak ,USA,Flavored,0,None,0.0
Prym Standard ,USA,Light,0,None,0.0
Labourdonnais Premium White ,Mauritius,Light,0,None,0.0
Reimonenq Hors d'age 1998 ,Guadeloupe,Aged,0,None,0.0
Charrette Special Long Drink ,Reunion,Light,0,None,0.0
Arehucas Doramas ,Spain,Aged,0,None,0.0
Don Lorenzo Pineapple ,Bahamas,Flavored,0,None,0.0
Capulet &amp; Montague Ltd.  Bonpland Sombre Dark ,Germany,Dark,0,None,0.0
Tortuga Liqueur ,British West Indies,Flavored,0,None,0.0
Caroni Superb White Magic ,Trinidad,Light,0,None,0.0
Karukera Christopher Colombus 1493 ,Guadeloupe,Aged,0,227.85,0.0
Grupo Salinas Salinas Cristalina Cachaca,Brazil,Cachaca,0,None,0.0
Novo Fogo Barrel 194 ,Brazil,Aged,0,None,0.0
Cannes Brulees Classic ,Grenada,Gold,0,None,0.0
Renegade Trinidad ,Caribbean,Aged,0,None,0.0
UF30E Blairmont 1982 ,Guyana,Aged,0,None,0.0
Ian's Alley Light ,USA,Light,0,None,0.0
Neisson 21-Year ,Martinique,Aged,0,1118.24,0.0
Havana Club Havana Club Tributo 2017 ,Cuba,Aged,0,None,0.0
All Gold Premium XXX ,India,Gold,0,None,0.0
Ron Botran Extra Light Limon ,Guatemala,Flavored,0,None,0.0
Code Silver ,USA,Light,0,None,0.0
Negrita 8 ,Martinique,Aged,0,None,0.0
Ron Ocumare Mandarin ,Venezuela,Flavored,0,None,0.0
C.J. Wray Dry ,Jamaica,Light,0,None,0.0
S.B.S. Barbados 2000 ,Denmark,Aged,0,None,0.0
Paola Anejo 3-Year ,Caribbean,Gold,0,24.68,0.0
Debonaire 5-Year ,Panama,Gold,0,None,0.0
Ron Pujol Blanco ,Spain,Light,0,13.45,0.0
Bristol Classic Cuban 2003 ,UK,Aged,0,65.13,0.0
Matusalem 151 Red Flame ,Dominican Republic,Overproof,0,None,0.0
Kill Devil (Hunter Laing) Jamaica 1998 16-Year ,Scotland,Aged,0,None,0.0
Cadenhead's St Lucia Green Label 11-Year ,UK,Aged,0,None,0.0
Plantation Panama 1997 ,Caribbean,Aged,0,None,0.0
Ocean's Triple S Barbados ,Spain,Aged,0,None,0.0
Chamarel Chamarel VS ,Mauritius,Aged,0,None,0.0
Medicine 3-Year ,Curacao,Gold,0,None,0.0
Capulet &amp; Montague Ltd.  Bonpland Forte Jamaican Rum ,Germany,Gold,0,None,0.0
Corsair Spiced ,USA,Spiced,0,41.0,0.0
Koh Samui Coconut ,Thailand,Flavored,0,None,0.0
L'Amitié White ,Martinique,Light,0,None,0.0
Cohiba 3-Year ,USA,Gold,0,None,0.0
Ron Dorado Gold ,Dominican Republic,Gold,0,None,0.0
Arecha Carta Blanca ,Cuba,Light,0,16.99,0.0
Old Man Spirits Special Cask Rum No. 6 - 9-year Panama ,Caribbean,Aged,0,None,0.0
Cuca Fresca Caipirinha Cachaca,Brazil,Cachaca,0,None,0.0
NPK Strawberry ,Mauritius,Flavored,0,32.81,0.0
Monarch Original Dark Rum ,USA,Dark,0,None,0.0
Travellers Macal ,Belize,Aged,0,None,0.0
Ron Baluarte 8-Year ,Colombia,Aged,0,None,0.0
Caroni 1994 18-Year ,Trinidad,Aged,0,None,0.0
XM Classic Light ,Guyana,Light,0,None,0.0
Ron Carupano Vanilla ,Venezuela,Flavored,0,None,0.0
Guantanamera 5-Year ,Dominican Republic,Gold,0,None,0.0
Ron Jamaica White ,Argentina,Light,0,None,0.0
Plantation Plantation Pérou 2004 Lot Unique ,Caribbean,Aged,0,None,0.0
Devil's Own Spiced ,USA,Spiced,0,None,0.0
Angostura Rare Blend 12-Year ,Trinidad,Aged,0,None,0.0
Twenty Boat White ,USA,Light,0,None,0.0
All Gold Premium White ,India,Light,0,None,0.0
Swedes Jamaica 2000 ,Sweden,Aged,0,None,0.0
Heritiers Madkaud Vieux ,Martinique,Light,0,None,0.0
Empee's Sixer XXX ,India,Gold,0,None,0.0
Gubba Silver ,USA,Light,0,None,0.0
Caribbean Golden 2002 ,Caribbean,Aged,0,28.68,0.0
Tatuzinho 3 Fazendas ,Brazil,Light,0,None,0.0
Duncan Taylor Jamaica 2000 12-Year ,Caribbean,Aged,0,None,0.0
Tremols Mamajuana ,Dominican Republic,Gold,0,None,0.0
Ron Cabo Blanco Merlin Negro ,Peru,Gold,0,None,0.0
Monarch Plata ,USA,Light,0,None,0.0
Young Cheers Ltd. Formosa ,Taiwan,Light,0,None,0.0
Michler's 62 ,UK,Gold,0,None,0.0
Topper's Spiced ,St. Maartin,Spiced,0,None,0.0
"Liquid Treasure Brazil Epris 17-Year 1999-2016 46,4% Sessions n°1 ",Germany,Aged,0,None,0.0
Cadenhead's Trinidad Green Label 11-Year ,UK,Aged,0,None,0.0
Bombo Carmel &amp; Spices ,UK,Flavored,0,None,0.0
Cuba Libre Caribbean Key Aged ,Panama,Aged,0,None,0.0
Rum Jumbie Mango Splash ,Panama,Flavored,0,None,0.0
Venado Especial Light ,Guatemala,Light,0,None,0.0
Tuthilltown Spirits Hudson River Rum ,USA,Gold,0,None,0.0
Ferroni Fondé à Marseille ,Cuba,Overproof,0,None,0.0
Rum Company Naga Rum ,Germany,Aged,0,None,0.0
Michler's 42 ,UK,Gold,0,None,0.0
St. Augustine Pot Distilled ,USA,Gold,0,None,0.0
Cadenhead's Haitian Green Label 7-Year ,UK,Aged,0,None,0.0
Old Man Spirits Rum Project One Northmen Edition 4 ,Caribbean,Gold,0,None,0.0
Devil's Message Light ,USA,Light,0,None,0.0
CopperMuse Gold ,USA,Gold,0,None,0.0
Doc Brown's Spiced ,USA,Spiced,0,None,0.0
Cuba libre el dorado Dark ,Guyana,Dark,0,None,0.0
J. Bally 1929 Rhum,Martinique,Rhum Agricole,0,None,0.0
Cadenhead's Nicaraguan Green Label 10-Year ,UK,Aged,0,None,0.0
Lebensstern Caribbean ,Caribbean,Gold,0,43.11,0.0
Prichard's Peach Mango ,USA,Flavored,0,None,0.0
MSG Marken-Spirituosen Großhandel GmbH München Harpoon Jamaica Rum 73% ,Germany,Overproof,0,None,0.0
Depaz Plantation ,Martinique,Gold,0,39.87,0.0
Don Lorenzo Mango ,Bahamas,Flavored,0,None,0.0
Isautier 10-Year Gres ,Reunion,Aged,0,None,0.0
Santo Grau Coronel Xavier Chaves Cachaca,Brazil,Cachaca,0,None,0.0
Governor General Navy ,Jamaica,Gold,0,None,0.0
Tahiti Nui Brown ,French Polynesia,Gold,0,None,0.0
J. Bally 1999 Rhum,Martinique,Rhum Agricole,0,None,0.0
J. Bally 1982 ,Martinique,Aged,0,None,0.0
Espinillar Light ,Uruguay,Light,0,None,0.0
Berry's 8-Year ,Caribbean,Aged,0,None,0.0
Fine Barbados 2000 ,UK,Gold,0,None,0.0
Gauguin White ,French Polynesia,Light,0,None,0.0
Alambic Classique Collection Licorera Special Reserve 1998 8-Year ,Caribbean,Aged,0,None,0.0
Ron Montilla Carta Ouro ,Brazil,Flavored,0,None,0.0
Tanduay Mini Oak Wood 18-Year ,Philippines,Aged,0,None,0.0
Black Cat Superior White ,Suriname,Light,0,22.56,0.0
La Gloria La Gloria Ron Añejo ,Mexico,Aged,0,None,0.0
