Name,Country,Type,Ratings,Price_USD,Rating
Atlantico Private Cask ,Dominican Republic,Aged,106,41.26,6.8
Arcane Extraroma ,Mauritius,Aged,105,42.7,7.4
Plantation Barbados 5-Year ,Caribbean,Aged,208,31.4,7.3
Barcelo Anejo ,Dominican Republic,Gold,69,16.05,5.5
Havana Club Blanco ,Cuba,Light,99,26.97,4.4
Presidente 23-Year ,Dominican Republic,Aged,65,60.11,8.0
Old Monk XXX ,India,Gold,65,23.01,5.6
El Ron Prohibido 12-Year ,Mexico,Aged,64,27.83,5.1
Flor de Cana 25-Year ,Nicaragua,Aged,64,132.14,8.7
 Ron Del Barrilito 3 Star ,Puerto Rico,Aged,95,49.81,7.7
Bacardi Gold ,Puerto Rico,Gold,185,24.49,4.8
Ron Malteco 10-Year ,Guatemala,Aged,46,27.13,6.5
Clement VSOP Rhum,Martinique,Rhum Agricole,90,41.79,6.3
Appleton Estate 8-Year ,Jamaica,Aged,60,25.75,6.4
La Hechicera Extra Anejo ,Colombia,Aged,88,51.22,7.6
Chairman's Reserve ,St. Lucia,Aged,88,26.72,6.5
Kirk and Sweeney 12-Year ,Dominican Republic,Aged,176,47.76,7.9
Ron Centenario 30-Year ,Costa Rica,Aged,57,194.54,8.8
El Dorado 3-Year ,Guyana,Light,42,19.58,6.2
Opthimus 25-Year ,Dominican Republic,Aged,54,83.52,8.6
Don Q Gran Anejo ,Puerto Rico,Aged,80,64.67,7.5
A. H. Riise Royal Danish Navy ,Denmark,Gold,78,69.53,7.4
Ron Abuelo Anejo ,Panama,Gold,76,18.57,6.4
Deadhead Aged ,Mexico,Aged,50,63.58,5.2
Stroh Original 80 ,Austria,Flavored,71,20.59,3.4
Captain Morgan Original Spiced Gold ,Puerto Rico,Spiced,141,15.91,4.6
Cockspur VSOR 12-Year ,Barbados,Aged,47,29.54,7.0
Brugal Extra Viejo ,Dominican Republic,Aged,70,33.63,6.0
Saint James Royal Ambre ,Martinique,Gold,68,22.71,5.5
RL Seale 10-Year ,Barbados,Aged,136,44.55,7.6
Plantation Pineapple Stiggin's Fancy ,Caribbean,Flavored,136,None,7.5
Cacique Anejo Superior ,Venezuela,Gold,27,16.18,5.7
Cacique 500 Gran Reserva ,Venezuela,Aged,44,23.22,7.0
Matusalem Clasico 10-Year ,Dominican Republic,Aged,44,22.97,5.8
Ron Botran Reserva 15 ,Guatemala,Aged,44,33.64,6.6
Appleton Estate Special Gold ,Jamaica,Gold,63,15.65,5.3
Malecon 12-Year ,Panama,Aged,30,15.04,6.1
Clement 10-Year ,Martinique,Aged,30,80.76,6.8
Wray &amp; Nephew White Overproof ,Jamaica,Overproof,60,21.22,6.5
Plantation Original Dark ,Caribbean,Dark,59,17.69,6.5
Ron de Jeremy Spiced  ,Panama,Spiced,39,29.77,6.3
Opthimus 18-Year ,Dominican Republic,Aged,29,7.34,7.4
Chairman's Reserve Spiced ,St. Lucia,Spiced,58,24.37,7.3
Opthimus 21-Year ,Dominican Republic,Aged,28,68.54,7.9
Dictador XO Perpetual ,Colombia,Aged,37,110.84,8.3
Brugal XV ,Dominican Republic,Aged,54,22.97,6.2
Bacardi Reserva Limitada ,Puerto Rico,Aged,54,120.82,7.9
Bacardi Reserva ,Puerto Rico,Gold,26,23.35,5.7
Brinley Gold Shipwreck Spiced ,St. Kitts,Spiced,52,27.64,7.3
Red Leg Spiced ,Caribbean,Spiced,49,24.84,7.3
Smith and Cross Navy Strength ,Jamaica,Gold,97,47.94,7.4
Malecon Reserva Imperial 18-Year ,Panama,Aged,24,23.68,7.0
Malecon Reserva Imperial 25-Year ,Panama,Aged,23,37.11,8.1
Ron Esclavo XO ,Dominican Republic,Aged,92,None,8.5
Papas Pilar Dark ,USA,Aged,92,73.41,8.0
Ryoma 7-Year ,Japan,Aged,30,65.76,5.4
Cruzan Single Barrel ,US Virgin Islands,Aged,90,71.1,7.2
Ron Bermudez Aniversario ,Dominican Republic,Aged,29,19.29,7.0
Dos Maderas 5+3 ,Barbados,Aged,43,36.56,6.4
Chairman's The Forgotten Cask ,St. Lucia,Aged,42,49.05,7.0
Don Papa 10-Year ,Philippines,Aged,83,66.73,6.7
Bumbu Original ,Barbados,Aged,81,None,6.9
Ron Zacapa Centenario 15 ,Guatemala,Aged,81,69.3,7.2
A. H. Riise Non Plus Ultra Very Rare ,Denmark,Aged,80,172.23,8.2
Captain Morgan White ,Puerto Rico,Light,80,17.37,4.5
Flor de Cana Extra Dry 4 ,Nicaragua,Light,40,17.49,6.6
Caroni 15-Year ,Trinidad,Aged,40,111.44,8.4
Kirk and Sweeney 23-Year ,Dominican Republic,Aged,80,None,8.3
Diplomatico 2001 Single Vintage ,Venezuela,Aged,80,None,8.7
Penny Blue XO ,Mauritius,Aged,26,55.55,7.7
Captain Morgan 100 ,Puerto Rico,Spiced,78,None,4.9
10 Cane Light ,Trinidad,Light,77,None,6.4
Ron de Jeremy The Adult ,Panama,Aged,38,43.09,6.1
Plantation Gran Anejo Guatemala ,Caribbean,Aged,75,40.55,7.3
Havana Club Ritual Cubano ,Cuba,Gold,37,12.37,7.2
Havana Club Ritual Cubano ,Cuba,Gold,37,12.37,7.2
Santiago de Cuba Anejo ,Cuba,Gold,73,12.69,7.1
Appleton Estate Rare Blend 12-Year ,Jamaica,Aged,73,None,7.3
Cruzan Black Strap ,US Virgin Islands,Dark,72,None,6.6
Ron Centenario 12-Year ,Costa Rica,Aged,36,33.48,6.5
Ron de Jeremy XO 15-Year ,Panama,Aged,72,None,7.6
Captain Morgan Cannon Blast ,Puerto Rico,Spiced,71,None,4.8
Foursquare 9-Year Port Cask Finish ,Barbados,Aged,71,None,8.2
Pusser's Gunpowder Proof ,British Virgin Isles,Overproof,35,36.87,7.2
Mocambo 20 Art Edition ,Mexico,Aged,35,63.33,6.1
Pampero Especial ,Venezuela,Aged,70,24.8,5.4
Appleton Estate Signature Blend ,Jamaica,Aged,69,22.69,5.4
Clement Blanc ,Martinique,Light,23,16.87,6.4
Kirk and Sweeney 18-Year ,Dominican Republic,Aged,68,None,8.2
Ron Zacapa Reserva Limitada 2013 ,Guatemala,Aged,22,93.59,8.4
Summum 12-Year ,Trinidad,Aged,33,5.63,7.1
Santa Teresa Gran Reserva ,Venezuela,Gold,22,17.38,6.4
Cockspur 5 Star Fine ,Barbados,Gold,33,16.98,6.0
Rumbullion Spiced ,Caribbean,Spiced,64,107.38,7.5
Malecon 21-Year ,Panama,Aged,16,72.62,7.3
UNHIQ XO ,Dominican Republic,Aged,63,128.3,9.1
Blackwell Black Gold Special Reserve ,Jamaica,Aged,63,None,6.7
Appleton Estate White ,Jamaica,Light,21,14.15,5.0
Santa Teresa Anejo ,Venezuela,Light,20,17.07,4.8
Santa Teresa Anejo ,Venezuela,Light,20,17.07,4.8
